_id,que,choiceA,choiceB,choiceC,choiceD,choiceE,kind,type,source,answer,detail
40276,兴奋性突触后电位是指突触后膜出现 ,极化,去极化,超极化,反极化,复极化,生理学,单选,十门联考,B,突触后膜在某种神经递质作用下产生的局部去极化电位变化称为兴奋性突触后电位。
40277,下丘脑是较高级的 ,交感神经中枢,副交感神经中枢,内脏活动调节中枢,躯体运动中枢,交感和副交感中枢,生理学,单选,十门联考,C,（三）第七行：下丘脑是较高级的内脏活动调节中枢。
40278,大量出汗时尿量减少，主要是由于 ,血浆晶体渗透压升高，引起抗利尿激素分泌增加,血浆晶体渗透压降低，引起抗利尿激素分泌增加,交感神经兴奋，引起抗利尿技素分泌增加,血容量减少，导致肾小球滤过减少,血浆胶体渗透压升高，导致肾小球滤过减少,生理学,单选,十门联考,A,大量出汗，循环血量降低，可降低引起血管升压素释放的血浆晶体渗透浓度阈，即提高渗透压感受器对相应刺激的敏感度。
40279,血液流经肾小球时，促进血浆滤出的直接动力是 ,入球小动脉血压,出球小动脉血压,肾动脉血压,肾小球毛细血管血压,全身平均动脉血压,生理学,单选,十门联考,D,肾小球有效滤过压=（肾小球毛细血管静水压+囊内液胶体渗透压）-（血浆胶体渗透压+肾小囊内压）。肾小球毛细血管静水压就等于肾小球毛细血管血压。
40280,促进ACTH释放的下丘脑调节肽是 , GnRH, TRH, GHRH, CRH, GHIH,生理学,单选,十门联考,D,表10-3 ACTH（促肾上腺皮质激素） CRH（促肾上腺皮质激素释放激素）
40281,非特异性投射系统的主要功能是 , 引起特定感觉并激发大脑皮质发出神经冲动,维持和改变大脑皮质的兴奋状态,协调肌紧张,调节随意运动,调节内脏运动,生理学,单选,十门联考,B,非特异投射系统起维持和改变大脑皮层兴奋状态的作用
40282,关于血浆渗透压的叙述，错误的是 ,血浆渗透压约为313mOsm/L,血浆渗透压包括胶体渗透压和晶体渗透压,晶体渗透压大于胶体渗透压,血浆渗透压与0.9%NACL和0.5%葡萄糖溶液的渗透压相等,血浆胶体渗透压在维持血容量中有重要作用,生理学,单选,十门联考,D,5%的葡萄糖溶液为等渗溶液
40283,细胞外液中的葡萄糖进入一般细胞的过程属于 ,单纯扩散,异化扩散,主动转运,入胞式物质转运,受体介导式入胞,生理学,单选,十门联考,B,细胞外液内葡萄糖经载体易化扩散进入胞内
40284,舞蹈病是由于 ,黑质受损,纹状体病变,小脑半球受损,精神分裂症,跳舞引起的损伤,生理学,单选,十门联考,B,亨廷顿病也称舞蹈病，病因是双侧新纹状体病变
40285,肺通气的原动力来自 ,肺内压与胸内压之差,肺内压与大气压之差,肺的弹性回缩,呼吸机舒缩运动,肺内压周期性变化,生理学,单选,十门联考,D,呼吸肌的收缩和舒张所引起的胸廓节律性扩张和缩小，即呼吸运动是实现肺通气的原动力
40286,通过兴奋中枢化学感受器增强肺通气的有效刺激是 ,脑脊液H离子浓度升高,脑脊液CO2分压升高,脑脊液O2分压降低,动脉血H离子浓度升高,动脉血O2分压降低,生理学,单选,十门联考,A,中枢化学感受器的生理性刺激是脑脊液和局部细胞外液中的H+
40287,关于冠脉循环的叙述，错误的是,血流量受心动周期影响，收缩期血流量少，而舒张期血流量多,主动脉压升高，冠脉血压随着升高，血流量增加,等容舒张期血流量迅速大量增加,心动周期缩短，冠脉血流量减少,血流量的调控主要依赖于神经调节,生理学,单选,十门联考,E,CBF主要受心肌代谢水平的影响
40288,胃大部切除患者出现贫血，其主要原因是,HCI减少,黏液减少,内因子减少,HCO3-减少,胃蛋白酶活性减弱,生理学,单选,十门联考,C,胃大部分切除时，机体缺乏内因子，可因维生素B12吸收障碍而导致巨幼红细胞性贫血
40289,神经和骨骼肌细胞动作电位复极化的产生是由于,Na+内流,K+外流,Ca2+内流,Na+外流,K+内流,生理学,单选,十门联考,B,K+外流，引起外向电流，使膜电位增大，发生复极化
40290,降钙素的主要靶器官是,甲状旁腺,肾脏,消化道,骨,腺垂体,生理学,单选,十门联考,D,CT的主要靶器官是骨和肾
40291,滤过分数指,肾小球滤过率/肾血浆流量,肾血浆流量/肾血流量,肾血流量/肾血浆流量,肾小球滤过滤/肾血流量,肾血流量/心排出量,生理学,单选,十门联考,A,肾小球滤过率与肾血浆流量的比值称为滤过分数
40292,若紧闭声门用力呼气，胸内压将升高到100mmHg左右，可以引起下列哪些变化,右心室输出量增加,左心室输出量减少,体循环动脉压下降,心率减慢,心率加快,生理学,单选,十门联考,D,呼气时，心率减慢
40293,关于雄激素的作用，错误的是,刺激雄性副性器官发育并维持成熟状态,刺激男性副性征出现,促进肌肉与骨骼生长，使男子身高在青春期呈冲刺式生长,分泌过盛可使男子身高超出常人,维持正常的性欲,生理学,单选,十门联考,D,雄激素只能加速机体生长
40294,导致氧离曲线右移的原因是,血液中H+浓度降低,体温下降,血液中CO2分压下降,血浆中pH下降 ,CO中毒,生理学,单选,十门联考,D,"氧离曲线右移：PCO2升高，pH下降，2,3-DPG增加，温度升高"
40295,在细胞膜蛋白质的帮助下，物质顺浓度差或电位差的转运方式是,单纯扩散,易化扩散,出胞作用,原发性主动转运,继发性主动转运,生理学,单选,十门联考,B,在膜蛋白的帮助（或介导）下，非脂溶性的小分子物质或带电离子顺浓度梯度和（或）电位梯度进行的跨膜转运，称为易化扩散
40296,由平卧位突然站立，静脉回心血量减少，每搏输出量减少、动脉血压降低，是由于下列哪项引起,等长调节,异长调节,心室后负荷增大,心交感神经兴奋,心迷走神经兴奋,生理学,单选,十门联考,B,异长自身调节：体位改变，动脉血压突然改变，心率改变，左右心室搏出量不平衡
40297,调节胰岛素分泌的最重要因素是,血糖水平,血中氨基酸水平,血脂水平,血钙水平,血钾水平,生理学,单选,十门联考,A,血中葡萄糖水平是调节胰岛素分泌最重要的因素
40298,心输出量是指,一次心跳由两侧心室射出的血量之和,一次心跳由一侧心室射出的血量,每分钟由一侧心房射出的血量,每分钟由一侧心室射出的血量,每分钟由两侧心室射出的血量之和,生理学,单选,十门联考,D,一侧心室每分钟射出的血液量，称为每分输出量，也称心输出量或心排出量
40299,下列关于中心静脉压的描述，哪一项是不正确的,是指胸腔大静脉和右心房的血压,心脏射血能力减弱时，中心静脉压较低,正常变化范围为0.4~1.2kPa（4~12cmH2O）,是反映心脏功能的一项指标,静脉输液量大且过快时，中心静脉压升高,生理学,单选,十门联考,B,心脏射血能力减弱，右心房和腔静脉淤血，中心静脉压升高
40300,血清与血浆的主要区别在于血清缺乏,纤维蛋白,纤维蛋白原,凝血因子,血小板,Ca2+,生理学,单选,十门联考,B,血清无纤维蛋白原
40301,心脏中传导速度最快的组织是,窦房结,心房优势传导通路,房室交界,心室肌,浦肯野纤维,生理学,单选,十门联考,E,倒数第二行原话
40302,有关胸内压的叙述，错误的是,一般情况下是负压,胸内压=肺内压-肺回缩力,胸内负压有利于静脉回流,使肺维持一定的扩张程度,产生气胸时负压增大,生理学,单选,十门联考,E,AD155原话，BCE见于156页胸膜腔负压意义（气胸负压减小或消失） 
40303,在下列哪一种情况下，心交感神经的活动会减弱,情绪兴奋时,动脉血压降低时,血容量减少时,颈动脉窦和主动脉弓压力感受性反射增强时,容量感受性反射增强时,生理学,单选,十门联考,D,"ABC心交感神经兴奋（三正）,DE均可引起迷走兴奋交感抑制，但E未提及“心”"
40304,机体受到刺激而发生应激反应的系统是,交感-肾上腺髓质,下丘脑-腺垂体-肾上腺皮质系统,下丘脑-腺垂体-性腺系统,下丘脑-腺垂体-甲状腺系统,下丘脑-腺垂体-肾上腺髓质系统,生理学,多选,十门联考,AB,应激时AB两系统均起作用，A主要引起应急反应，B主要引起应激作用，；两者均可在应激原刺激下产生作用（详见郭益明给的图）
40305,副交感神经兴奋可引起,瞳孔扩大,糖原分解,胃肠运动增强,骨骼肌血管扩张,竖毛肌收缩,生理学,单选,十门联考,C,倒数三行
40306,关于月经周期的叙述，错误的是,月经周期中，女性生殖系统会出现周期性变化,软超周期分为卵泡期和黄体期,子宫内膜周期分为增殖期、分泌期和月经期,月经周期中出现两次雌激素分泌高峰,排卵的发生主要与FSH高分和孕激素高峰出现有关,生理学,单选,十门联考,E,"E排卵FSH,LH（黄体生成素）高峰，非孕激素"
40307,大量饮清水后，尿量增多主要是由于,肾小球毛细血管血压升高,醛固酮分泌减少,血浆胶体渗透压下降,血浆晶体渗透压下降,肾小球滤过率增加,生理学,单选,十门联考,D,倒数第八行
40308,心室肌的前负荷是指,收缩末期心室容积,舒张末期心室容积,快速射血期末心室容积,等容舒张期心室容积,快速充盈期心室容积,生理学,单选,十门联考,B,第四节第六行
40309,特异性投射系统的主要功能是,引起特定感觉并激发大脑皮质发出神经冲动,维持和改变大脑皮质的兴奋状态,协调肌紧张,调节内脏功能,维持觉醒,生理学,单选,十门联考,A,第五行
40310,我国健康成年人安静时白细胞总数是,（10~30）×109/L,500×109/L,（4~10）×109/L,（100~1000）×109/L,小于10×109/L,生理学,单选,十门联考,C,第三行
40311,决定每分钟肺泡通气量的因素是,呼吸频率和无效腔的大小,余气量的多少,肺活量,潮气量的大小,呼吸频率，潮气量与无效腔的大小,生理学,单选,十门联考,E,第17行
40312,心室肌的初长可用下列何者来间接表示,等容收缩期容积或压力,等容舒张期容积或压力,舒张末期容积或压力,舒张末期主动脉压,快速充盈期容积或压力,生理学,单选,十门联考,C,第四节第5行
40313,动作电位上升支Na+内流是属于,单纯扩散,载体转运,通道转运,主动转运,出胞作用,生理学,单选,十门联考,C,第5行
40314,交感神经节后纤维释放的递质是,乙酰胆碱,去甲肾上腺素,多巴胺,去甲肾上腺素或乙酰胆碱,5-羟色胺,生理学,单选,十门联考,D,285第三节第7行，286第15行
40315,具有局部电位信号特征的电信号是,神经与动作电位,神经纤维动作电位,峰电位,终板电位,骨骼肌细胞动作电位,生理学,单选,十门联考,D,倒数第5行，局部电位叠加课形成动作电位
40316,肾小球滤过的动力有效滤过压等于,肾小球毛细血管血压-血浆胶体渗透压+囊内压,肾小球毛细血管血压-（血浆胶体渗透压+囊内压）,肾小球毛细血管血压+血浆胶体渗透压-囊内压,肾小球毛细血管血压-血浆晶体渗透压-囊内压,肾小球毛细血管血压+血浆胶体渗透压+囊内压,生理学,单选,十门联考,B,空
40317,缺O2增强呼吸运动主要是通过刺激,外周化学感受器,中枢化学感受器,延髓呼吸中枢,脑桥呼吸中枢,下丘脑呼吸中枢,生理学,单选,十门联考,A,A（血氧、二氧化碳分压、氢离子浓度）B（脑脊液和局部细胞外的氢离子浓度）
40318,睾酮由下列哪种细胞分泌,间质细胞,支持细胞,初级精母细胞,次级精母细胞,精原细胞,生理学,单选,十门联考,A,B（抑制素）
40319,生长素分泌有日周期，血中浓度最高的时间是在,清晨,中午,傍晚,慢波睡眠,异相睡眠,生理学,单选,十门联考,D,生长激素在觉醒时分泌少，在慢波睡眠增加，入睡后60min达到高峰。异相睡眠分泌减少。C（入睡后80-120min，分泌生长激素，促进生长发育）D（慢波睡眠后20-30min）
40320,关于钠泵生理作用，错误的描述是,钠泵能逆浓度差将进入到细胞内Na+移出细胞外,钠泵能顺着浓度差使细胞外的K+移入细胞内,钠泵每分解1分子ATP可排除3个Na+，转入2个K+,钠泵活动走啊称细胞内高K+，使许多生理活动得以进行,钠泵活动可以造成膜两侧的离子势能储备,生理学,单选,十门联考,B,B（钠泵属于主动转运，逆浓度梯度转运）
40321,ADH主要由何处合成,腺垂体,神经垂体,下丘脑视上核,下丘脑室旁核,肾脏,生理学,单选,十门联考,C,ADH：抗利尿激素。由下丘脑视上核和视旁核合成。
40322,大多数细胞产生静息电位的原因是,细胞内高K+浓度和安静时膜主要对K+有通透性,细胞内高K+浓度和安静时膜主要对Na+有通透性,细胞外高Na+浓度和安静时膜主要对Na+有通透性,细胞外高Na+浓度和安静时膜主要对K+有通透性,Na+-K+泵的活性,生理学,单选,十门联考,A,钾离子的电位平衡
40323,关于心室肌细胞运作电位离子基础的叙述，错误的是,0期主要由Na+内流形成,1期主要由Cl-外流形成,2期主要由Ca2+内流和K+外流形成,3期主要由K+外流形成,4期主要由Na+外流和K+内流形成,生理学,单选,十门联考,B,B（1期由钾离子外流形成）
40324,正常情况下消化道吸收水分的主要部位是,胃,十二指肠,小肠,升结肠,降结肠,生理学,单选,十门联考,B,小肠是吸收的主要部位，糖、蛋白质、脂肪的分解产物主要由十二指肠和空肠上部吸收。
40325,影响舒张压的主要因素是,大动脉管壁的弹性,心输出量,阻力血管的口径,血液粘滞度,血管长度,生理学,单选,十门联考,C,舒张压主要受外周阻力影响，外周阻力与阻力血管的口径的4次方成反比。
40326,调节血钙浓度最主要的激素是,生长素,降钙素,甲状腺激素,甲状旁腺激素,肾上腺皮质激素,生理学,单选,十门联考,D,A（促进生长）B（抑制破骨细胞骨吸收、骨转换）C（促进新陈代谢）E（糖、蛋白质、脂肪代谢）
40327,心动周期中左心室容积最大的时期是,快速射血期末,快速充盈期末,减慢充盈期末,减慢射血期末,房缩期末,生理学,单选,十门联考,E,A（室内压、动脉压最大）B（室内压最低）
50001,下列有关酶的正确论述是,不能在胞外发挥作用,大多数酶的化学本质是核酸,能改变反应的平衡点,能大大降低反应的平衡点,与底物的结合都具有绝对特异性,生物化学,单选,十门联考,D,【本题无正确答案】酶是由活细胞产生的、对其底物具有高度特异性和高度催化效能的蛋白质；酶可以降低反应活化能（但不改变反应平衡点）；酶对底物的特异性分为两种类型：绝对专一性和相对专一性
50002,下列哪项不是限制性内切酶识别序列的特点,特异性很高,常由4~6个核苷酸组成,一般具有回文结构,少数内切酶识别序列中的碱基可以有规律地替换,限制性核酸内切酶的切口均是粘性末端,生物化学,单选,十门联考,E,粘性末端
50003,5—FU是哪种碱基的类似物,A,U,C,G,T,生物化学,单选,十门联考,E,最后一段
50004,白喉毒素对真核生物有剧烈毒性是因为它可以共价修饰下列哪种因子,EF—2,eEF—2,EF—1,eIF-2, eIF – 5,生物化学,单选,十门联考,B,作为一种修饰酶，可使eEf-2发生ADP糖基化共价修饰而失活。
50005,乳酸循环不经过下列哪条途径,糖酵解,糖异生,磷酸戊糖途径,肝糖原分解,肝糖原合成,生物化学,单选,十门联考,C,图6-16
50006,癌基因表达产物的作用中不包括的是,生长因子,生长因子受体,DNA结合蛋白,G蛋白结合蛋白,具有蛋白酪氨酸激酶活性,生物化学,单选,十门联考,D,见书
50007,白化病患者体内缺乏的酶是,苯丙氨酸转氨酶,酸转氨酶,酸羟化酶,酪氨酸酶,多巴脱羟酶,生物化学,单选,十门联考,D,在黑色素细胞中，酪氨酸经酪氨酸酶作用，羟化形成多巴，后者经氧化、脱羧等反应转变成吲哚醌，最后吲哚醌聚合为黑色素。先天性酪氨酸酶缺乏的病人，因不能合成黑色素，皮肤毛发等发白，称为白化病。
50008,在胆固醇逆向转运中起主要作用的血浆脂蛋白是,LDL, HDL,LDL,HDL,.CM,生物化学,单选,十门联考,B,新生HDL的代谢过程实际上就是胆固醇逆向转运过程。
50009,成熟的真核生物mRNA5’端具有的结构是,polyA, m7ApppN,m7GpppN,m7CpppN,m7UpppN,生物化学,单选,十门联考,C,见书
50010,当缺乏时可以引起巨幼红细胞贫血的维生素是,维生素B1,维生素B12,维生素C, 生物素,泛酸,生物化学,单选,十门联考,B,当B12缺乏时，核酸合成障碍阻止细胞分裂而产生巨幼细胞性贫血。
50011,体内两条电子传递链分别以不同递氢体起始，经呼吸链最后将电子传递成氢，生成水，这两条电子传递链的交叉点是,CytB,FAD,FMN,CytC,CoQ,生物化学,单选,十门联考,E,体内有两条电子传递链，一条是以NADH 为起始的，另—条以FAD 为起始的电子传递链。两条电子传递链的顺序分别为 NADH，FMN，辅酶Q，Cytb，Cytc，Cytaa3，O2 和FADH2，辅酶Q，Cytb，Cytc， Cytaa3，O2。 
50012,脂肪酸β—氧化酶系存在于,胞质,微粒体,溶酶体,线粒体,内质网,生物化学,单选,十门联考,D,催化脂肪氧化（β氧化）的酶系存在于线粒体基质。
50013,DNA的解链温度指的是,A260达到最大值时的温度,A260达到最大值50%时的温度,DNA开始解链时所需的温度,DNA完全解链时所需的温度,A280达到最大值的50%时的温度,生物化学,单选,十门联考,B,解链温度，在此温度下，50%的DNA双链解离为单链。
50014,关于抑癌基因的叙述，下列哪一系是正确的,具有抑制细胞增殖的作用,与癌基因的表达无关,缺失与细胞的增值分化无关,不存在于正常人类细胞中,肿瘤细胞出现时才表达,生物化学,单选,十门联考,A,第二节一、二段
50015,红细胞内的抗氧化物主要是,NADH,CoQH2,GSH,FADH2,FMNH2,生物化学,单选,十门联考,C,还原型谷胱甘肽是体内重要的抗氧化剂，对红细胞而言更为重要。
50016,变构效应勿与酶的结合部位是,活性中心的结合基团,酶分子的-SH基,催化基团,性中心以外的任何部位,性中心以外的特殊部位,生物化学,单选,十门联考,E,与酶的活性中心外的某个部位非共价可逆结合。
50017,翻译延长需要,氨基酸t-RNA转移酶,磷酸化酶,氨基酸合酶,肽链聚合酶, 转肽酶,生物化学,单选,十门联考,E,肽链延长在核蛋白体上连续循环式进行，又称为核蛋白体循环，包括三步：进位，成肽（由转肽酶催化），转位。
50018,胆固醇是下列哪一种物质的前体,CoA, 维生素A,维生素D,乙酰CoA,维生素E,生物化学,单选,十门联考,C,胆固醇可在皮肤被氧化为7-脱氢胆固醇，经紫外光照射转变为维生素D3
50019,能降低血糖水平的激素是,胰岛素,胰高血糖素,糖皮质激素,肾上腺素,生长激素,生物化学,单选,十门联考,A,胰岛素是唯一降低血糖的激素
50020,下列有关蛋白质生物合成的叙述中错误的是,氨基酸必须活化成活性氨基酸,活化的氨基酸被搬运到核蛋白体上,氨基酸的羧基端被活化,tRNA的反密码与mRNA的密码配对结合,体内所有的氨基酸都具有相应的密码子,生物化学,单选,十门联考,E,有密码子的氨基酸只有20种
50021,与DNA结合并阻止转录进行的蛋白质称为,正调控蛋白,反式作用因子,诱导物,阻遏物,分解代谢基因活化蛋白,生物化学,单选,十门联考,D,当操纵序列结合有阻遏蛋白时会阻碍RNA聚合酶与启动子的结合，阻遏转录，D对C错。正调控蛋白提高RNA聚合酶活性，A错。反式作用因子激活基因的转录。
50022,属于糖酵解途径关键酶的是,6-磷酸葡萄糖酶,丙酮酸激酶,柠檬酸合酶,苹果酸脱氢酶,6-磷酸葡萄糖脱氢酶,生物化学,单选,十门联考,B,糖酵解途径关键酶有3种：己糖激酶，磷酸果糖激酶-1，丙酮酸激酶，B对。柠檬酸合酶和苹果酸脱氢酶为柠檬酸循环的酶，前者为关键酶。葡糖6磷酸脱氢酶为磷酸戊糖途径限速酶，E错。
50023,胆固醇不能转化成,胆汁酸,维生素D3,睾丸酮,雌二醇,胆红素,生物化学,单选,十门联考,E,胆固醇可转化为：胆汁酸，类固醇激素（如性激素：睾丸酮，雌二醇），7脱氢胆固醇等。胆红素主要源于血红素分解产生，E错。
50024,原核生物参与转录起始的酶是,解链酶,引物酶,RNA聚合酶Ⅱ,RNA聚合酶全酶,RNA聚合酶核心酶,生物化学,单选,十门联考,D,原核生物转录起始需要全酶，转录延长阶段仅需核心酶，D对E错。RNA聚合酶II为真核生物所具有，用于转录生成hnRNA.
50025,tRNA的结构特点不包括,含甲基化核苷酸,5’末端的具有特殊的帽子结构,三叶草形的二级结构,有局部的的双链结构,含有二氢尿嘧啶环,生物化学,单选,十门联考,B,5'末端帽子结构是mRNA的特殊结构，选B。
50026,含有核黄素的辅酶是,FMN,HS-CoA,NAD+,NADP+,CoQ,生物化学,单选,十门联考,A,"核黄素是FMN和FAD的组成成分,A对。维生素PP是NAD和NADP的组成成分，CD错误。"
50027,下列有关细胞色素的叙述中错误的是,是一类以铁卟啉为辅基的电子传递体,利用辅基中Fe2+与Fe3+互变传递电子,细胞色素C氧化酶中含有Cyt a及Cyt a3,除线粒体外细胞色素还存在于细胞的其他部位,所有的细胞色素均与线粒体内膜紧密结合不易分离,生物化学,单选,十门联考,E,细胞色素C与线粒体内膜表面疏松结合，选E。
50028,某蛋白分子具有以下特点：1.为三聚体（α、β、γ）2.有激活型和抑制型两种3.αGTP为其活化形式4。具有潜在的GTP酶活性。该蛋白最有可能是,属于CAM,属于胰岛素受体,属于PKA,活化后调节AC活性,活化后调节PKC活性,生物化学,单选,十门联考,D,"可推测为G蛋白，G蛋白激活AC和PLC，D对。 PLC催化产生DAG和IP3，进而作用于PKC使其活化,E错。"
50029,DNA双螺旋分子稳定作用主要靠,大量的氢键,双链中碱基对之间的氢键,G≡C之间的氢键,单核苷酸之间的氢键,碱基对之间的氢键和碱基对之间的堆积力,生物化学,单选,十门联考,E,碱基对的疏水作用力和氢键共同维持着DNA双螺旋结构的稳定。
50030,下列哪项不是受体与配体结合的特点,高度专一性,高度亲和力,可饱和性,不可逆性,定的作用模式,生物化学,单选,十门联考,D,受体与配体相互作用具有的共同特点包括：高度专一性，高度亲和力，可逆性，可饱和性，特点的作用模式。
50031,原核生物DNA知道的RNA聚合酶由数个亚基组成，其核心酶的组成是,α2ββ’, ααβ’δ, ααβ’, αδβ, αββ’,生物化学,单选,十门联考,A,α2ββ’为核心酶，σ亚基与核心酶共同称为全酶。
50032,一个操纵子通常含有,启动序列和一个编码序列,启动序列和数个编码序列,启动序列和一个编码序列,启动序列和数个编码序列,启动序列和数个编码序列,生物化学,单选,十门联考,B,一个操纵子中包括了若干个基因的编码区及1个启动子序列。
50033,下列物质不是嘌呤核苷酸合成原料的是,甘氨酸,天冬氨酸,谷氨酰胺,一碳单位,CO2,生物化学,单选,十门联考,B,【本题无正确答案】嘌呤核苷酸合成原料为：磷酸核糖，氨基酸（谷氨酰胺、天冬氨酸，甘氨酸），一碳单位，CO2等。
50034,正常人体内哪种物质的含氮量在非蛋白氮中含量最高,肌酸和肌酐,尿素,尿素,胆红素,氨,生物化学,单选,十门联考,B,尿素为正常人体内非蛋白氮中含氮量最高的物质。
50035,生物体调节基因表达最根本的目的是,调节物质代谢,维持个体生长,维持细胞分化,维持细胞分裂,适应环境变化,生物化学,单选,十门联考,E,适应环境变化是生物体调节基因表达的最根本目的。
50036,人体活动主要的直接功能物质是,磷酸肌酸,脂肪酸,葡萄糖,ATP,GTP,生物化学,单选,十门联考,D,ATP可直接为细胞的各种生理活动提供能量。
50037,Lac阻遏蛋白由,z基因编码,Y基因编码,A基因编码,I基因编码, 以上都不是,生物化学,单选,十门联考,D,E.coli的乳糖操纵子含Z、Y、A三个结构基因，分别编码β半乳糖苷酶、通透酶、乙酰基转移酶，ABC错误。I基因编码Lac阻遏蛋白，D选项正确。
50038,有关ATP合成机制的叙述正确的是,除α、β亚基外，其他亚基有ATP结合部位,在ATP合酶F1部分进行,F0部分仅起固定F1部分作用,F1α、β亚基构成的质子通道,H+自由透过线粒体内膜,生物化学,单选,十门联考,B,ATP合酶含F1和F0两部分。F1亲水部分，其β亚基具有催化ATP生成的作用，与α亚基结合才具有活性。F0为疏水部分，除稳定F1部分外，还构成质子通道。B选项正确。
50039,嘌呤核苷酸从头合成时首先产生的是,AMP,GMP,IMP,ATP,GTP,生物化学,单选,十门联考,C,嘌呤核苷酸从头合成，首选合成IMP，再合成AMP和GMP，C对。AMP和GMP在激酶作用下，经过两步磷酸化反应，进一步分别生成ATP和GTP。
50040,转氨酶的辅酶中含有维生素是,维生素B1, 维生素B2, 维生素B6, 维生素B12,维生素C,生物化学,单选,十门联考,C,氨基酸转氨酶和脱羧酶的辅酶都是磷酸化磷酸吡哆醛，即维生素B6的活性形式。
50041,真核生物的TATA盒是,RNA转录的起始点,蛋白质翻译的起始点,它是启动子的核心序列,它是RNA-pol的活动中心,与核蛋白体稳定结构的序列,生物化学,单选,十门联考,C,A转录起始复合物。B翻译起始复合物。D核心酶。E?。
50042,可以识别DNA分子中特异序列并将其切割的酶称为,DNA酶（DNase）,限制性核酸内切酶,限制性核酸外切酶,非限制性核酸内切酶,非限制性核酸外切酶,生物化学,单选,十门联考,B,A催化DNA水解。C酶切位点有核酸特异性，水解核酸分子链末端。D酶切位点无特异性，水解DNA内部。E水解核酸分子链末端。
50043,属于必须脂肪酸,亚油酸，亚麻酸，花生四烯酸,油酸，亚麻酸，花生四烯酸,亚油酸，软脂酸，花生四烯酸,亚麻酸，硬脂酸，亚油酸,亚麻酸，亚泊酸，软脂酸,生物化学,单选,十门联考,A,空
50044,原核生物识别转录起始点的是,RNA-pol的亚基,核心酶,δ亚基(因子),β因子,DnaB蛋白,生物化学,单选,十门联考,A,B转录起始需全酶。C是DNA pol亚基。D催化聚合反应。E是解旋酶。原答案选C（δ亚基）错，正确答案是σ亚基，是RNA pol的亚基，选A。
50045,肌酸的合成原料是,精氨酸和瓜氨酸,精氨酸和甘氨酸,精氨酸和鸟氨酸,鸟氨酸和甘氨酸,鸟氨酸和甘氨酸,生物化学,单选,十门联考,B,肌酸的合成原料是精氨酸，甘氨酸，甲硫氨酸
50046,受体的特异性取决于,活性中心的构象和活性基团,结合域的构象和活性基团,细胞膜的构象和活性基团,信息传导部分的构象和活性基团,G蛋白的构象和活性基团,生物化学,单选,十门联考,B,空
50047,下列关于DNA变形的叙述中正确的是,变性时磷酸二酯酶断裂,变性时糖氨酸断裂,双链间氢键被破坏,在280nm处的吸光度增加,在260nm处的吸光度减少,生物化学,单选,十门联考,C,D含共轭双键的氨基酸的最大吸收峰E增加
50048,对酶化学修饰调节特点的叙述中错误的是,属该类调节的酶大都具有无（或低）活性和有（或高）活性两种形式,活性与非活性的两种形式在不同酶的催化下可以互变, 催化上述互变的酶在体内受上游调节因素如激素的控制,磷酸化与脱磷酸是常见的酶促化学修饰反应,酶化学修饰调节效率常不如别构调节效率高,生物化学,单选,十门联考,E,ABCD都对
50049,有关温度对酶促反应速度影响的叙述中正确的是,温度升高反应速度总是随之加快,温使多数酶变性从而降低酶反应速度,最适温度对于所有酶都相同,最适温度是酶的特征性常数，与反应的进行时间无关,最适温度不是酶的特征性常数，延长反应时间最适温度降低,生物化学,单选,十门联考,E,A酶最适温度时反应速率最高。B?。C栖热水生菌在70-75℃生长。
50050,下列关于酮体的描述错误的是,酮体包括乙酰乙酸、β羟丁酸和丙酮,合成原料是丙酮酸氧化生成的乙酰辅酶A,只能在肝的线粒体内进行,酮体只能在肝外组织氧化,酮体是肝输出能量的一种形式,生物化学,单选,十门联考,B,ACDE全对
50051,有关竞争性抑制的叙述，错误的是,抑制剂与底物结构相似,制剂与酶的活性中心相结合,抑制剂与酶的结合是可逆的,抑制程度只与抑制剂的浓度有关,抑制剂与酶非共价结合,生物化学,单选,十门联考,D,ABCE全对
50052,下列正常人摄取糖类过多时的几种代谢途径中，哪一项错误,糖转变为甘油,糖转变为蛋白质,糖转变为脂肪酸,糖氧化分解成CO2，H2O,糖转变为糖原,生物化学,单选,十门联考,B,ACDE全对
50053,下列关于大肠杆菌（大肠埃希菌）DNA聚合酶Ⅰ的叙述正确的是,具有3’→5’核酸外切酶活性,具有5’→3’核酸内切酶活性,是唯一参与大肠杆菌DNA复制的聚合酶,dUPT是它的一种作用物,以有缺口的双股DNA为模板,生物化学,单选,十门联考,A,B具有5'→3'聚合酶活性。C还有DNA polⅡ、DNA pol Ⅲ。D底物为dUTP(AGCT)。E模板为单链DNA。
50054,DNA连接酶催化的化学反应,可以填补引物遗留下的空隙,水解引物,向3’—OH末端加入Dntp,生成磷酸二酯键,生成氢键,生物化学,单选,十门联考,D,AB是DNA polⅠ。C是DNA polⅡ。E双链之间。
50055,有关类固醇激素作用方式的叙述，正确的是,激素可进入核内，直接促进转录,激素与受体结合后激活G蛋白,激素—受体复合物激活热休克蛋白,激素与受体结合后促进解聚,其受体具有转录因子功能,生物化学,单选,十门联考,E,A未与信号分子结合的胞内受体位于胞质中。B G蛋白受体是膜受体。C无激素存在时，受体与热激蛋白结合。D促进热休克蛋白与受体解聚。
